time,lon,lat
200704051400,20.190,75.551
200704051500,19.768,75.407
200704051600,19.026,75.376
200704051700,18.276,75.323
200704051800,17.666,75.223
200704051900,16.842,75.149
200704052000,16.079,75.009
200704052100,15.393,74.826
200704052200,14.335,74.608
200704052300,14.117,74.351
200704060000,13.978,74.093
200704060100,12.761,73.812
200704060200,11.508,73.445
200704060300,10.580,72.969
200704060400,10.297,72.410
200704060500,10.483,71.949
200704060600,11.075,71.067
200704060700,11.527,70.583
200704060800,12.491,70.152
200704060900,13.780,69.828
