time,lon,lat
200801300400,10.671,78.849
200801300500,10.050,78.450
200801300600,9.756,78.170
200801300700,9.569,77.950
200801300800,9.391,77.669
200801300900,9.316,77.329
200801301000,9.328,77.109
200801301100,9.338,76.909
200801301200,9.268,76.569
200801301300,9.372,76.169
200801301400,9.136,75.928
200801301500,8.900,75.787
200801301600,8.835,75.587
200801301700,8.940,75.248
200801301800,9.031,75.048
200801301900,9.276,74.789
200801302000,9.736,74.630
200801302100,9.665,74.410
200801302200,9.963,74.210
200801302300,10.036,74.030
200801310000,10.036,73.870
200801310100,9.893,73.690
200801310200,9.965,73.570
200801310300,9.825,73.450
200801310400,9.965,73.370
200801310500,9.758,73.210
200801310600,9.624,73.030
200801310700,9.559,72.870
200801310800,9.831,72.850
200801310900,9.566,72.610
200801311000,9.437,72.449
200801311100,9.444,72.229
200801311200,9.192,72.028
