time,lon,lat
200801300000,10.379,79.390
200801300100,10.053,79.230
200801300200,9.948,78.910
200801300300,10.051,78.690
200801300400,10.251,78.530
200801300500,10.346,78.350
200801300600,10.146,78.170
200801300700,10.336,77.970
200801300800,10.520,77.790
200801300900,10.419,77.590
200801301000,10.863,77.289
200801301100,11.288,76.987
200801301200,12.137,76.741
200801301300,12.730,76.655
200801301400,13.336,76.648
200801301500,13.724,76.483
200801301600,13.845,76.300
200801301700,14.002,76.258
200801301800,13.755,76.282
200801301900,13.498,76.265
200801302000,13.567,76.204
200801302100,13.546,76.124
200801302200,13.599,76.003
200801302300,13.415,75.926
200801310000,13.387,75.806
200801310100,13.134,75.770
200801310200,13.104,75.630
200801310300,13.003,75.531
200801310400,12.730,75.354
200801310500,12.779,75.193
200801310600,12.970,74.971
200801310700,12.794,74.853
200801310800,12.469,74.736
200801310900,12.154,74.660
200801311000,11.824,74.422
200801311100,11.934,74.101
200801311200,12.555,73.875
