time,lon,lat
200801301800,11.764,75.223
200801301900,11.587,75.024
200801302000,11.494,74.865
200801302100,11.473,74.645
200801302200,11.378,74.426
200801302300,11.212,74.207
200801310000,11.060,74.127
200801310100,11.266,73.966
200801310200,11.254,73.806
200801310300,11.172,73.667
200801310400,11.305,73.546
200801310500,11.078,73.307
200801310600,10.926,73.068
200801310700,10.711,72.849
200801310800,10.436,72.690
200801310900,10.165,72.430
200801311000,10.098,72.290
200801311100,10.226,71.990
200801311200,10.160,71.790
