time,lon,lat
200704042200,12.630,78.378
200704042300,12.888,78.216
200704050000,13.134,78.033
200704050100,13.390,77.910
200704050200,13.069,77.773
200704050300,12.942,77.634
200704050400,12.545,77.518
200704050500,12.327,77.340
200704050600,11.840,77.124
200704050700,11.898,76.903
200704050800,11.607,76.685
200704050900,11.579,76.445
200704051000,11.300,76.207
200704051100,11.199,76.007
200704051200,10.858,75.828
200704051300,10.121,75.670
200704051400,9.560,75.510
200704051500,9.333,75.229
200704051600,8.958,74.988
200704051700,9.512,74.549
200704051800,9.817,74.170
200704051900,9.964,73.770
200704052000,10.315,73.430
200704052100,10.652,73.069
200704052200,10.970,72.628
200704052300,11.734,72.242
200704060000,12.783,71.829
200704060100,14.012,71.587
200704060200,15.495,71.248
200704060300,16.215,71.164
200704060400,16.954,70.976
200704060500,17.605,70.909
200704060600,17.934,70.814
200704060700,18.610,70.682
