time,lon,lat
200704050400,12.178,77.541
200704050500,12.708,77.416
200704050600,12.482,77.198
200704050700,11.915,77.023
200704050800,11.971,76.802
200704050900,11.780,76.684
200704051000,11.161,76.547
200704051100,10.719,76.329
200704051200,10.292,76.150
200704051300,10.041,75.930
200704051400,10.040,75.450
200704051500,9.883,75.130
200704051600,9.655,74.890
200704051700,9.287,74.549
200704051800,9.156,74.188
200704051900,9.462,73.809
200704052000,9.616,73.390
200704052100,9.898,72.970
200704052200,10.765,72.529
200704052300,11.591,72.103
200704060000,12.638,71.711
200704060100,13.952,71.307
200704060200,15.299,70.992
200704060300,17.197,70.805
200704060400,18.690,70.860
200704060500,19.869,70.880
200704060600,21.110,70.888
